tarball,beamid,datafile,site,obs_start,mjd,tun1_freq,tun2_freq,target,duration,start_time,ra,dec,mode,lst,obs_end,sess_dur
 DD002_9023.tgz,1, 059609_002134133, LWASV, 2022/01/30 11:23:12.000000 UTC,59609,63.30000001,78, FRB-DETECTION-#2022-01-30-11:22:31.585661UTC_DM221.6_efd553aeb6f, 0:08:50, 2022/01/30 11:23:12.000000 UTC,11.857283,70.701569, TRK_RADEC, 12:54:22.17, 2022/01/30 11:32:02.000000 UTC, 0:08:50 
 DD002_9024.tgz,1, 059613_002172869, LWASV, 2022/02/03 08:55:53.000000 UTC,59613,63.30000001,78, FRB-DETECTION-#2022-02-03-08:55:10.576099UTC_DM367.2_03fa0a38aab, 0:14:30, 2022/02/03 08:55:53.000000 UTC,9.818332,59.161018, TRK_RADEC, 10:42:25.21, 2022/02/03 09:10:23.000000 UTC, 0:14:30 
 DD002_9025.tgz,1, 059617_002216988, LWASV, 2022/02/07 19:24:46.000000 UTC,59617,63.30000001,78, FRB-DETECTION-#2022-02-07-19:24:21.046182UTC_DM262.4_92682fc8a10, 0:10:20, 2022/02/07 19:24:46.000000 UTC,20.665659,72.912613, TRK_RADEC, 21:28:47.71, 2022/02/07 19:35:06.000000 UTC, 0:10:20 
 DD002_9026.tgz,1, 059619_002239176, LWASV, 2022/02/09 23:43:15.000000 UTC,59619,63.30000001,78, FRB-DETECTION-#2022-02-09-23:42:49.703457UTC_DM393.5_02e263e2bb8, 0:15:19, 2022/02/09 23:43:15.000000 UTC,1.044934,70.208618, TRK_RADEC, 1:55:52.29, 2022/02/09 23:58:34.000000 UTC, 0:15:19 
 DD002_9027.tgz,1, 059621_002255775, LWASV, 2022/02/11 16:26:54.000000 UTC,59621,63.30000001,78, FRB-DETECTION-#2022-02-11-16:26:27.760158UTC_DM273.8_621d4a4c959, 0:10:50, 2022/02/11 16:26:54.000000 UTC,17.745554,71.174065, TRK_RADEC, 18:46:12.72, 2022/02/11 16:37:44.000000 UTC, 0:10:50 
 DD002_9028.tgz,1, 059622_002263574, LWASV, 2022/02/12 10:50:37.000000 UTC,59622,63.30000001,78, FRB-DETECTION-#2022-02-12-10:50:02.173102UTC_DM366.8_8e808550b3a, 0:14:20, 2022/02/12 10:50:37.000000 UTC,12.338718,54.6395, TRK_RADEC, 13:12:57.04, 2022/02/12 11:04:57.000000 UTC, 0:14:20 
 DD002_9029.tgz,1, 059628_002326411, LWASV, 2022/02/18 15:08:26.000000 UTC,59628,63.30000001,78, FRB-DETECTION-#2022-02-18-15:07:55.853816UTC_DM306.5_943b8a7881c, 0:12:00, 2022/02/18 15:08:26.000000 UTC,17.050322,50.901001, TRK_RADEC, 17:55:07.72, 2022/02/18 15:20:26.000000 UTC, 0:12:00 
 DD002_9030.tgz,1, 059629_002333216, LWASV, 2022/02/19 07:45:44.000000 UTC,59629,63.30000001,78, FRB-DETECTION-#2022-02-19-07:45:16.416279UTC_DM399.1_e66ff1ea9cd, 0:15:40, 2022/02/19 07:45:44.000000 UTC,9.672818,39.290764, TRK_RADEC, 10:35:09.55, 2022/02/19 08:01:24.000000 UTC, 0:15:40 
 DD002_9033.tgz,1, 059631_002350351, LWASV, 2022/02/21 00:13:12.000000 UTC,59631,63.30000001,78, FRB-DETECTION-#2022-02-21-00:12:43.622676UTC_DM340.9_03963640ba8, 0:13:20, 2022/02/21 00:13:12.000000 UTC,2.187742,68.98307, TRK_RADEC, 3:09:16.31, 2022/02/21 00:26:32.000000 UTC, 0:13:20 
 DD002_9035.tgz,1, 059632_002368948, LWASV, 2022/02/22 20:28:07.000000 UTC,59632,63.30000001,78, FRB-DETECTION-#2022-02-22-20:27:41.770785UTC_DM183.6_e861b5c4b3a, 0:07:20, 2022/02/22 20:28:07.000000 UTC,22.691004,25.914354, TRK_RADEC, 23:31:27.44, 2022/02/22 20:35:27.000000 UTC, 0:07:20 
 DD002_9036.tgz,1, 059634_002380864, LWASV, 2022/02/24 00:40:41.000000 UTC,59634,63.30000001,78, FRB-DETECTION-#2022-02-24-00:40:15.252759UTC_DM349.0_5a44ce46a7e, 0:13:40, 2022/02/24 00:40:41.000000 UTC,2.895917,13.036515, TRK_RADEC, 3:48:39.48, 2022/02/24 00:54:21.000000 UTC, 0:13:40 
 DD002_9037.tgz,1, 059635_002392177, LWASV, 2022/02/25 04:59:26.000000 UTC,59635,63.30000001,78, FRB-DETECTION-#2022-02-25-04:58:58.719531UTC_DM217.6_a9880a20a35, 0:08:30, 2022/02/25 04:59:26.000000 UTC,7.233377,49.351852, TRK_RADEC, 8:12:03.55, 2022/02/25 05:07:56.000000 UTC, 0:08:30 
 DD002_9038.tgz,1, 059635_002396574, LWASV, 2022/02/25 15:55:59.000000 UTC,59635,63.30000001,78, FRB-DETECTION-#2022-02-25-15:55:30.571502UTC_DM334.4_6359fd189cd, 0:13:10, 2022/02/25 15:55:59.000000 UTC,18.318611,18.365299, TRK_RADEC, 19:10:24.41, 2022/02/25 16:09:09.000000 UTC, 0:13:10 
 DD002_9039.tgz,1, 059638_002424701, LWASV, 2022/02/28 10:59:50.000000 UTC,59638,63.30000001,78, FRB-DETECTION-#2022-02-28-10:59:22.568819UTC_DM120.9_831c96048b3, 0:04:50, 2022/02/28 10:59:50.000000 UTC,13.509322,48.781704, TRK_RADEC, 14:25:16.44, 2022/02/28 11:04:40.000000 UTC, 0:04:50 
