tarball,beamid,datafile,site,obs_start,mjd,tun1_freq,tun2_freq,target,duration,start_time,ra,dec,mode,lst,obs_end,sess_dur
 DD002_8019.tgz,2, 059609_002522431, LWA1, 2022/01/30 11:23:13.000000 UTC,59609,63.30000001,78, FRB-DETECTION-#2022-01-30-11:22:31.585661UTC_DM221.6_efd553aeb6f, 0:08:50, 2022/01/30 11:23:13.000000 UTC,11.857283,70.701569, TRK_RADEC, 12:51:24.96, 2022/01/30 11:32:03.000000 UTC, 0:08:50 
 DD002_8020.tgz,3, 059613_002567249, LWA1, 2022/02/03 08:55:53.000000 UTC,59613,63.30000001,78, FRB-DETECTION-#2022-02-03-08:55:10.576099UTC_DM367.2_03fa0a38aab, 0:14:30, 2022/02/03 08:55:53.000000 UTC,9.818332,59.161018, TRK_RADEC, 10:39:26.99, 2022/02/03 09:10:23.000000 UTC, 0:14:30 
 DD002_8021.tgz,4, 059617_002618001, LWA1, 2022/02/07 19:24:47.000000 UTC,59617,63.30000001,78, FRB-DETECTION-#2022-02-07-19:24:21.046182UTC_DM262.4_92682fc8a10, 0:10:20, 2022/02/07 19:24:47.000000 UTC,20.665659,72.912613, TRK_RADEC, 21:25:50.50, 2022/02/07 19:35:07.000000 UTC, 0:10:20 
 DD002_8022.tgz,3, 059619_002643700, LWA1, 2022/02/09 23:43:15.000000 UTC,59619,63.30000001,78, FRB-DETECTION-#2022-02-09-23:42:49.703457UTC_DM393.5_02e263e2bb8, 0:15:19, 2022/02/09 23:43:15.000000 UTC,1.044934,70.208618, TRK_RADEC, 1:52:54.07, 2022/02/09 23:58:34.000000 UTC, 0:15:19 
 DD002_8023.tgz,3, 059621_002663256, LWA1, 2022/02/11 16:26:55.000000 UTC,59621,63.30000001,78, FRB-DETECTION-#2022-02-11-16:26:27.760158UTC_DM273.8_621d4a4c959, 0:10:50, 2022/02/11 16:26:55.000000 UTC,17.745554,71.174065, TRK_RADEC, 18:43:15.51, 2022/02/11 16:37:45.000000 UTC, 0:10:50 
 DD002_8024.tgz,3, 059622_002672335, LWA1, 2022/02/12 10:50:38.000000 UTC,59622,63.30000001,78, FRB-DETECTION-#2022-02-12-10:50:02.173102UTC_DM366.8_8e808550b3a, 0:14:20, 2022/02/12 10:50:38.000000 UTC,12.338718,54.6395, TRK_RADEC, 13:09:59.83, 2022/02/12 11:04:58.000000 UTC, 0:14:20 
 DD002_8025.tgz,3, 059628_002743874, LWA1, 2022/02/18 15:08:27.000000 UTC,59628,63.30000001,78, FRB-DETECTION-#2022-02-18-15:07:55.853816UTC_DM306.5_943b8a7881c, 0:12:00, 2022/02/18 15:08:27.000000 UTC,17.050322,50.901001, TRK_RADEC, 17:52:10.51, 2022/02/18 15:20:27.000000 UTC, 0:12:00 
 DD002_8026.tgz,3, 059629_002751997, LWA1, 2022/02/19 07:45:44.000000 UTC,59629,63.30000001,78, FRB-DETECTION-#2022-02-19-07:45:16.416279UTC_DM399.1_e66ff1ea9cd, 0:15:40, 2022/02/19 07:45:44.000000 UTC,9.672818,39.290764, TRK_RADEC, 10:32:11.33, 2022/02/19 08:01:24.000000 UTC, 0:15:40 
 DD002_8029.tgz,3, 059631_002771604, LWA1, 2022/02/21 00:13:13.000000 UTC,59631,63.30000001,78, FRB-DETECTION-#2022-02-21-00:12:43.622676UTC_DM340.9_03963640ba8, 0:13:20, 2022/02/21 00:13:13.000000 UTC,2.187742,68.98307, TRK_RADEC, 3:06:19.09, 2022/02/21 00:26:33.000000 UTC, 0:13:20 
 DD002_8030.tgz,3, 059632_002791348, LWA1, 2022/02/22 20:28:08.000000 UTC,59632,63.30000001,78, FRB-DETECTION-#2022-02-22-20:27:41.770785UTC_DM183.6_e861b5c4b3a, 0:07:20, 2022/02/22 20:28:08.000000 UTC,22.691004,25.914354, TRK_RADEC, 23:28:30.22, 2022/02/22 20:35:28.000000 UTC, 0:07:20 
 DD002_8031.tgz,3, 059634_002805807, LWA1, 2022/02/24 00:40:42.000000 UTC,59634,63.30000001,78, FRB-DETECTION-#2022-02-24-00:40:15.252759UTC_DM349.0_5a44ce46a7e, 0:13:40, 2022/02/24 00:40:42.000000 UTC,2.895917,13.036515, TRK_RADEC, 3:45:42.27, 2022/02/24 00:54:22.000000 UTC, 0:13:40 
 DD002_8032.tgz,3, 059635_002820215, LWA1, 2022/02/25 04:59:26.000000 UTC,59635,63.30000001,78, FRB-DETECTION-#2022-02-25-04:58:58.719531UTC_DM217.6_a9880a20a35, 0:08:30, 2022/02/25 04:59:26.000000 UTC,7.233377,49.351852, TRK_RADEC, 8:09:05.34, 2022/02/25 05:07:56.000000 UTC, 0:08:30 
 DD002_8033.tgz,2, 059635_002825440, LWA1, 2022/02/25 15:56:00.000000 UTC,59635,63.30000001,78, FRB-DETECTION-#2022-02-25-15:55:30.571502UTC_DM334.4_6359fd189cd, 0:13:10, 2022/02/25 15:56:00.000000 UTC,18.318611,18.365299, TRK_RADEC, 19:07:27.20, 2022/02/25 16:09:10.000000 UTC, 0:13:10 
 DD002_8034.tgz,3, 059638_002859665, LWA1, 2022/02/28 10:59:51.000000 UTC,59638,63.30000001,78, FRB-DETECTION-#2022-02-28-10:59:22.568819UTC_DM120.9_831c96048b3, 0:04:50, 2022/02/28 10:59:51.000000 UTC,13.509322,48.781704, TRK_RADEC, 14:22:19.23, 2022/02/28 11:04:41.000000 UTC, 0:04:50 
 DD002_8035.tgz,3, 059639_002867395, LWA1, 2022/03/01 01:56:53.000000 UTC,59639,63.30000001,78, FRB-DETECTION-#2022-03-01-01:56:25.959dddd170UTC_DM114.4_d3d5f2fc943, 0:04:30, 2022/03/01 01:56:53.000000 UTC,16.54178,80.474831, TRK_RADEC, 5:21:48.59, 2022/03/01 02:01:23.000000 UTC, 0:04:30 
 DD002_8036.tgz,3, 059639_002868043, LWA1, 2022/03/01 03:23:15.000000 UTC,59639,63.30000001,78, FRB-DETECTION-#2022-03-01-03:22:49.363937UTC_DM281.0_e47632f0baf, 0:11:00, 2022/03/01 03:23:15.000000 UTC,5.937093,43.887131, TRK_RADEC, 6:48:24.78, 2022/03/01 03:34:15.000000 UTC, 0:11:00 
 DD002_8037.tgz,3, 059639_002872669, LWA1, 2022/03/01 13:30:53.000000 UTC,59639,63.30000001,78, FRB-DETECTION-#2022-03-01-13:30:24.765330UTC_DM264.1_c6b62c20889, 0:10:20, 2022/03/01 13:30:53.000000 UTC,16.109447,35.293152, TRK_RADEC, 16:57:42.59, 2022/03/01 13:41:13.000000 UTC, 0:10:20 
 DD002_8038.tgz,3, 059642_002901270, LWA1, 2022/03/04 00:35:26.000000 UTC,59642,63.30000001,78, FRB-DETECTION-#2022-03-04-00:34:57.117422UTC_DM333.6_f17bcc3a90e, 0:13:00, 2022/03/04 00:35:26.000000 UTC,3.371558,27.811172, TRK_RADEC, 4:11:57.86, 2022/03/04 00:48:26.000000 UTC, 0:13:00 
 DD002_8039.tgz,3, 059646_002951197, LWA1, 2022/03/08 08:36:44.000000 UTC,59646,63.30000001,78, FRB-DETECTION-#2022-03-08-08:36:17.035625UTC_DM213.9_d88fab9aa2e, 0:08:30, 2022/03/08 08:36:44.000000 UTC,11.644711,41.26786, TRK_RADEC, 12:30:21.12, 2022/03/08 08:45:14.000000 UTC, 0:08:30 
 DD002_8040.tgz,3, 059646_002954373, LWA1, 2022/03/08 15:32:33.000000 UTC,59646,63.30000001,78, FRB-DETECTION-#2022-03-08-15:32:05.222433UTC_DM359.5_eef721e4a5d, 0:14:10, 2022/03/08 15:32:33.000000 UTC,18.535238,59.430779, TRK_RADEC, 19:27:18.43, 2022/03/08 15:46:43.000000 UTC, 0:14:10 
 DD002_8041.tgz,3, 059649_002987729, LWA1, 2022/03/11 12:41:26.000000 UTC,59649,63.30000001,78, FRB-DETECTION-#2022-03-11-12:40:56.540930UTC_DM336.0_868a5b3a88e, 0:13:10, 2022/03/11 12:41:26.000000 UTC,15.894444,33.670994, TRK_RADEC, 16:47:32.99, 2022/03/11 12:54:36.000000 UTC, 0:13:10 
 DD002_8042.tgz,3, 059651_003006256, LWA1, 2022/03/13 02:47:01.000000 UTC,59651,63.30000001,78, FRB-DETECTION-#2022-03-13-02:46:32.775754UTC_DM231.7_d150871c8e6, 0:09:10, 2022/03/13 02:47:01.000000 UTC,6.107436,53.200611, TRK_RADEC, 6:59:23.45, 2022/03/13 02:56:11.000000 UTC, 0:09:10 
 DD002_8044.tgz,3, 059653_003028592, LWA1, 2022/03/15 01:20:35.000000 UTC,59653,63.30000001,78, FRB-DETECTION-#2022-03-15-01:20:05.232386UTC_DM384.6_125b7ad29e6, 0:15:00, 2022/03/15 01:20:35.000000 UTC,4.850998,10.015286, TRK_RADEC, 5:40:36.37, 2022/03/15 01:35:35.000000 UTC, 0:15:00 
 DD002_8045.tgz,4, 059654_003048461, LWA1, 2022/03/16 19:45:50.000000 UTC,59654,63.30000001,78, FRB-DETECTION-#2022-03-16-19:45:21.109803UTC_DM349.0_a30198f082f, 0:13:40, 2022/03/16 19:45:50.000000 UTC,23.388874,40.267925, TRK_RADEC, 0:12:49.48, 2022/03/16 19:59:30.000000 UTC, 0:13:40 
 DD002_8046.tgz,3, 059655_003059168, LWA1, 2022/03/17 18:03:14.000000 UTC,59655,63.30000001,78, FRB-DETECTION-#2022-03-17-18:02:43.825984UTC_DM228.1_78eae39e8ba, 0:09:00, 2022/03/17 18:03:14.000000 UTC,21.768646,34.10173, TRK_RADEC, 22:33:53.17, 2022/03/17 18:12:14.000000 UTC, 0:09:00 
 DD002_8047.tgz,3, 059657_003078660, LWA1, 2022/03/19 11:04:50.000000 UTC,59657,63.30000001,78, FRB-DETECTION-#2022-03-19-11:04:21.056135UTC_DM308.1_5b854e589c7, 0:12:10, 2022/03/19 11:04:50.000000 UTC,14.930796,54.068527, TRK_RADEC, 15:42:13.53, 2022/03/19 11:17:00.000000 UTC, 0:12:10 
 DD002_8048.tgz,3, 059657_003080060, LWA1, 2022/03/19 14:07:31.000000 UTC,59657,63.30000001,78, FRB-DETECTION-#2022-03-19-14:07:04.224921UTC_DM277.0_dfd037688e4, 0:10:50, 2022/03/19 14:07:31.000000 UTC,17.865644,71.618767, TRK_RADEC, 18:45:24.54, 2022/03/19 14:18:21.000000 UTC, 0:10:50 
 DD002_8049.tgz,3, 059658_003090021, LWA1, 2022/03/20 10:01:00.000000 UTC,59658,63.30000001,78, FRB-DETECTION-#2022-03-20-10:00:28.960760UTC_DM308.1_996ae14090d, 0:12:10, 2022/03/20 10:01:00.000000 UTC,13.809031,39.683281, TRK_RADEC, 14:42:09.60, 2022/03/20 10:13:10.000000 UTC, 0:12:10 
 DD002_8050.tgz,3, 059659_003098590, LWA1, 2022/03/21 03:55:11.000000 UTC,59659,63.30000001,78, FRB-DETECTION-#2022-03-21-03:54:42.717603UTC_DM243.0_aa2f5506b93, 0:09:30, 2022/03/21 03:55:11.000000 UTC,7.808949,39.975056, TRK_RADEC, 8:39:17.05, 2022/03/21 04:04:41.000000 UTC, 0:09:30 
 DD002_8051.tgz,3, 059659_003099308, LWA1, 2022/03/21 05:27:43.000000 UTC,59659,63.30000001,78, FRB-DETECTION-#2022-03-21-05:27:15.603858UTC_DM228.5_97b8c40eb14, 0:09:00, 2022/03/21 05:27:43.000000 UTC,9.41033,46.048916, TRK_RADEC, 10:12:04.25, 2022/03/21 05:36:43.000000 UTC, 0:09:00 
 DD002_8052.tgz,3, 059662_003126707, LWA1, 2022/03/24 02:41:18.000000 UTC,59662,63.30000001,78, FRB-DETECTION-#2022-03-24-02:40:48.008880UTC_DM336.0_d6f00984ba6, 0:13:10, 2022/03/24 02:41:18.000000 UTC,6.611384,82.122375, TRK_RADEC, 7:37:01.58, 2022/03/24 02:54:28.000000 UTC, 0:13:10 
 DD002_8053.tgz,3, 059677_003299595, LWA1, 2022/04/08 04:15:24.000000 UTC,59677,63.30000001,78, FRB-DETECTION-#2022-04-08-04:14:55.760763UTC_DM204.2_78b79b4282c, 0:08:00, 2022/04/08 04:15:24.000000 UTC,9.122804,81.248848, TRK_RADEC, 10:10:31.35, 2022/04/08 04:23:24.000000 UTC, 0:08:00 
 DD002_8054.tgz,2, 059682_003359533, LWA1, 2022/04/13 11:34:59.000000 UTC,59682,63.30000001,78, FRB-DETECTION-#2022-04-13-11:34:28.674324UTC_DM115.2_b519696a8ef, 0:04:40, 2022/04/13 11:34:59.000000 UTC,17.070606,66.932487, TRK_RADEC, 17:51:01.34, 2022/04/13 11:39:39.000000 UTC, 0:04:40 
 DD002_8055.tgz,3, 059683_003372908, LWA1, 2022/04/14 16:33:25.000000 UTC,59683,63.30000001,78, FRB-DETECTION-#2022-04-14-16:32:39.773273UTC_DM87.3_91492a189b6f, 0:03:40, 2022/04/14 16:33:25.000000 UTC,22.020935,13.615133, TRK_RADEC, 22:54:12.91, 2022/04/14 16:37:05.000000 UTC, 0:03:40 
